Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu,,,,,,
2015,1,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),606.48,,,,,,
2015,1,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),616.05,,,,,,
2015,1,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),822.36,,,,,,
2015,1,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),727.99,,,,,,
2015,1,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),1250.83,,,,,,
2015,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),1335.71,,,,,,
2015,1,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),917.13,,,,,,
2015,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),1335.63,,,,,,
2015,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),954,,,,,,
2015,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),1088.66,,,,,,
2015,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),758.44,,,,,,
2015,1,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),777.25,,,,,,
2015,1,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),576.44,,,,,,
2015,1,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),673.2,,,,,,
2015,1,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),707.17,,,,,,
2015,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),701.69,,,,,,
2015,1,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),653.16,,,,,,
2015,1,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),521.06,,,,,,
2015,1,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),601.06,,,,,,
2015,1,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),733.81,,,,,,
2015,1,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),485.74,,,,,,
2015,1,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),505.02,,,,,,
2015,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),543.33,,,,,,
2015,1,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),608.87,,,,,,
2015,1,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),740,,,,,,
2015,1,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,1,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),585.54,,,,,,
2015,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),561.58,,,,,,
2015,1,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),545.86,,,,,,
2015,1,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),455.96,,,,,,
2015,1,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,1,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),626.23,,,,,,
2015,1,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,1,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),461.89,,,,,,
2015,1,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),469.83,,,,,,
2015,1,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),515.49,,,,,,
2015,1,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),433.81,,,,,,
2015,1,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,1,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),401.17,,,,,,
2015,1,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,1,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),383.62,,,,,,
2015,1,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),303.8,,,,,,
2015,1,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),504.27,,,,,,
2015,1,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),585.98,,,,,,
2015,1,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),619.16,,,,,,
2015,1,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),595.43,,,,,,
2015,1,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),665.89,,,,,,
2015,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),615.46,,,,,,
2015,1,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),618.57,,,,,,
2015,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),722.23,,,,,,
2015,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),1093.14,,,,,,
2015,1,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),682.84,,,,,,
2015,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),914.75,,,,,,
2015,1,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),512.89,,,,,,
2015,1,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),612.11,,,,,,
2015,1,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),662.25,,,,,,
2015,1,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),609.22,,,,,,
2015,2,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),598.91,,,,,,
2015,2,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),771.13,,,,,,
2015,2,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),598.16,,,,,,
2015,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),708.03,,,,,,
2015,2,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),770.13,,,,,,
2015,2,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),704.44,,,,,,
2015,2,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),988.89,,,,,,
2015,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),906.14,,,,,,
2015,2,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),766.85,,,,,,
2015,2,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),746,,,,,,
2015,2,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),598.47,,,,,,
2015,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),381.07,,,,,,
2015,2,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),536.18,,,,,,
2015,2,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),687.33,,,,,,
2015,2,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),601.6,,,,,,
2015,2,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),607.68,,,,,,
2015,2,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),606.78,,,,,,
2015,2,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),627.86,,,,,,
2015,2,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),817.24,,,,,,
2015,2,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),679.54,,,,,,
2015,2,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),1711.45,,,,,,
2015,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),824.38,,,,,,
2015,2,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),1101.15,,,,,,
2015,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),1337.79,,,,,,
2015,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),1056.07,,,,,,
2015,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),1095.7,,,,,,
2015,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),790.21,,,,,,
2015,2,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),712.75,,,,,,
2015,2,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),539.58,,,,,,
2015,2,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),637.81,,,,,,
2015,2,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),726.61,,,,,,
2015,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),712.64,,,,,,
2015,2,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),631.05,,,,,,
2015,2,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),539.56,,,,,,
2015,2,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),596.15,,,,,,
2015,2,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),749.23,,,,,,
2015,2,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),504.61,,,,,,
2015,2,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),547.25,,,,,,
2015,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),558.49,,,,,,
2015,2,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),621.76,,,,,,
2015,2,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),701.43,,,,,,
2015,2,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,2,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),568.31,,,,,,
2015,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),583.05,,,,,,
2015,2,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),556.5,,,,,,
2015,2,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),485.4,,,,,,
2015,2,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,2,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),562.45,,,,,,
2015,2,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),575.83,,,,,,
2015,2,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),466.89,,,,,,
2015,2,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),419.79,,,,,,
2015,2,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),531.27,,,,,,
2015,2,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),456.71,,,,,,
2015,2,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),420.63,,,,,,
2015,2,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),399.19,,,,,,
2015,2,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),450,,,,,,
2015,2,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),464.95,,,,,,
2015,2,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),362.94,,,,,,
2015,2,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),526.12,,,,,,
2015,2,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),609.55,,,,,,
2015,2,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),608.62,,,,,,
2015,2,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),594.29,,,,,,
2015,2,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),650.76,,,,,,
2015,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),624.24,,,,,,
2015,2,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),636.97,,,,,,
2015,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),755.44,,,,,,
2015,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),1116.3,,,,,,
2015,2,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),711.46,,,,,,
2015,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),981.86,,,,,,
2015,2,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),505.97,,,,,,
2015,2,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),670.38,,,,,,
2015,2,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),697.32,,,,,,
2015,2,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),595.42,,,,,,
2015,3,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),654,,,,,,
2015,3,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),773,,,,,,
2015,3,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),630,,,,,,
2015,3,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),729,,,,,,
2015,3,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),753,,,,,,
2015,3,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),739,,,,,,
2015,3,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),1052,,,,,,
2015,3,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),926,,,,,,
2015,3,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),807,,,,,,
2015,3,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),798,,,,,,
2015,3,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),631,,,,,,
2015,3,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,3,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),565,,,,,,
2015,3,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),735,,,,,,
2015,3,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),632,,,,,,
2015,3,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),661,,,,,,
2015,3,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),652,,,,,,
2015,3,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),701,,,,,,
2015,3,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),860,,,,,,
2015,3,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),814,,,,,,
2015,3,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),2034,,,,,,
2015,3,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),1119,,,,,,
2015,3,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),1156,,,,,,
2015,3,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),1462,,,,,,
2015,3,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),1073,,,,,,
2015,3,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),1262,,,,,,
2015,3,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),840,,,,,,
2015,3,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),713,,,,,,
2015,3,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),576,,,,,,
2015,3,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),743,,,,,,
2015,3,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),742,,,,,,
2015,3,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),752,,,,,,
2015,3,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),636,,,,,,
2015,3,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),586,,,,,,
2015,3,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),620,,,,,,
2015,3,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),611,,,,,,
2015,3,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),528,,,,,,
2015,3,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),498,,,,,,
2015,3,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),554,,,,,,
2015,3,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),626,,,,,,
2015,3,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),655,,,,,,
2015,3,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),368,,,,,,
2015,3,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),572,,,,,,
2015,3,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),581,,,,,,
2015,3,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),542,,,,,,
2015,3,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),509,,,,,,
2015,3,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,3,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),555,,,,,,
2015,3,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),558,,,,,,
2015,3,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),476,,,,,,
2015,3,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),506,,,,,,
2015,3,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),544,,,,,,
2015,3,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),466,,,,,,
2015,3,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,3,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),381,,,,,,
2015,3,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2015,3,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),449,,,,,,
2015,3,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),187,,,,,,
2015,3,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),577,,,,,,
2015,3,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),631,,,,,,
2015,3,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),637,,,,,,
2015,3,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),636,,,,,,
2015,3,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),685,,,,,,
2015,3,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),669,,,,,,
2015,3,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),673,,,,,,
2015,3,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),774,,,,,,
2015,3,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),1173,,,,,,
2015,3,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),764,,,,,,
2015,3,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),1023,,,,,,
2015,3,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),516,,,,,,
2015,3,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),679,,,,,,
2015,3,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),672,,,,,,
2015,3,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),633,,,,,,
2015,4,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),644.73,,,,,,
2015,4,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),831.13,,,,,,
2015,4,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),601.38,,,,,,
2015,4,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),751.6,,,,,,
2015,4,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),792.53,,,,,,
2015,4,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),726.93,,,,,,
2015,4,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),1035.07,,,,,,
2015,4,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),941.58,,,,,,
2015,4,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),789.76,,,,,,
2015,4,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),772.11,,,,,,
2015,4,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),638.47,,,,,,
2015,4,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),411.36,,,,,,
2015,4,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),566.01,,,,,,
2015,4,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),648.84,,,,,,
2015,4,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),640.9,,,,,,
2015,4,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),657.94,,,,,,
2015,4,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),635.26,,,,,,
2015,4,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),658.42,,,,,,
2015,4,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),909.27,,,,,,
2015,4,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),764.77,,,,,,
2015,4,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),1860.3,,,,,,
2015,4,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),841.1,,,,,,
2015,4,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),1227.35,,,,,,
2015,4,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),1385.99,,,,,,
2015,4,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),1076.8,,,,,,
2015,4,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),1153.93,,,,,,
2015,4,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),808.38,,,,,,
2015,4,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),745.31,,,,,,
2015,4,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),542.71,,,,,,
2015,4,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),751.72,,,,,,
2015,4,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),749.24,,,,,,
2015,4,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),735.76,,,,,,
2015,4,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),649.09,,,,,,
2015,4,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),550.49,,,,,,
2015,4,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),630.99,,,,,,
2015,4,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),775.29,,,,,,
2015,4,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),528.77,,,,,,
2015,4,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),527.53,,,,,,
2015,4,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),545.82,,,,,,
2015,4,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),654.09,,,,,,
2015,4,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),689.78,,,,,,
